exchange, stock_symbol, date,       stock_price_open, stock_price_high, stock_price_low, stock_price_close, stock_volume, stock_price_adj_close
NYSE ,    AEA,          2010-02-08, 4.42,             4.42,              4.21,            4.24,             205500,       4.24
NYSE,     AEA,          2010-02-05, 4.42,             4.54,              4.22,            4.41,             194300,       4.41
NYSE,     AEA,          2010-02-04, 4.55,             4.69,              4.39,            4.42,             233800,       4.42
NYSE,     AEA,          2010-02-03, 4.65,             4.69,              4.5,             4.55,             182100,       4.55
NYSE,     AEA,          2010-02-02, 4.74,             5   ,              4.62,            4.66,             222700,       4.66
NYSE,     AEA,          2010-02-01, 4.84,             4.92,              4.68,            4.75,             194800,       4.75
NYSE,     AEA,          2010-01-29, 4.97,             5.05,              4.76,            4.83,             222900,       4.83
NYSE,     AEA,          2010-01-28, 5.12,             5.22,              4.81,            4.98,             283100,       4.98
NYSE,     AEA,          2010-01-27, 4.82,             5.16,              4.79,            5.09,             243500,       5.09
NYSE,     AEA,          2010-01-26, 5.18,             5.18,              4.81,            4.84,             554800,       4.84
